FragID,Species,Tank,Treatment,Parent,T0,T1,T2,T3,T4,T5,T6,Tf,Origin,Transplant,NP0,R0,NPf,Rf,SA,AFDWg,BMgcm2,AFDWmg,BMmgcm2,GP0,GPf,t0GPSA,t0NPSA,t0RSA,tfGPSA,tfNPSA,tfRSA,BWT0,BWTf,dDryWt.g.d,x.d,g.cm2.d,mg.cm2.d
1675,PCOM,2,Ambient,156,613,630,636,628,645,645,638,639,Inner Bay,Outer Bay,0.827544788,0.568768282,1.023671995,0.594594494,34.40572,,,,,1.39631307,1.618266489,0.040583748,0.024052535,0.016531213,0.04703481,0.02975296,0.01728185,6.62,7.062,0.100342341,0.661959322,0.002916444,2.916443574
1712,PCOM,8,High,156,605,637,591,627,580,598,606,577,Inner Bay,Inner Bay,0.796596382,0.426503177,0.321655927,0.264256492,27.77149,,,,,1.223099559,0.585912419,0.044041553,0.028683963,0.015357591,0.021097623,0.011582235,0.009515388,7.807,7.872,0.010322869,0.057750277,3.72E-04,0.371707424
1730,PCOM,8,High,98,589,583,616,603,613,590,519,502,Inner Bay,Outer Bay,0.519255899,0.290440776,0.166346495,0.283772269,47.9725,,,,,0.809696675,0.450118764,0.016878351,0.010824032,0.006054318,0.00938285,0.003467539,0.005915311,9.789,9.985,0.038680679,0.172582551,8.06E-04,0.806309427
1747,PCOM,1,Ambient,98,605,622,572,600,611,636,639,633,Inner Bay,Inner Bay,0.513106502,0.327059493,0.709980174,0.423359496,20.9203,,,,,0.840165995,1.13333967,0.040160323,0.024526728,0.015633595,0.05417416,0.03393738,0.020236779,6.427,6.54,0.024342595,0.165423825,0.001163587,1.163587281
1773,PCOM,8,High,98,661,632,642,606,585,535,464,527,Inner Bay,Inner Bay,0.681454799,0.401125815,0.264486861,0.187690546,32.11069,,,,,1.082580614,0.452177407,0.033714025,0.021222054,0.012491971,0.014081834,0.008236723,0.005845111,8.132,8.123,-0.008263456,-0.044377169,-2.57E-04,-0.257342835
1778,PCOM,1,Ambient,98,684,622,647,655,645,645,665,647,Inner Bay,Outer Bay,0.760723541,0.476968375,0.451856467,0.258356213,28.57831,,,,,1.237691916,0.71021268,0.043308786,0.026618913,0.016689873,0.024851458,0.015811168,0.00904029,6.22,6.407,0.041322158,0.290157457,0.001445927,1.445927278
1788,PCOM,4,Ambient,98,622,591,642,624,657,632,645,657,Inner Bay,Inner Bay,0.757067524,0.399284571,0.745022174,0.421820542,24.74083,,,,,1.156352095,1.166842716,0.046738614,0.030599924,0.016138689,0.047162634,0.030113063,0.017049571,6.934,7.131,0.047735355,0.300642176,0.001929416,1.929416071
1809,PCOM,2,Ambient,153,625,620,617,644,634,635,650,637,Inner Bay,Inner Bay,0.79237716,0.454216351,1.048456994,0.50403589,34.348,0.1611225,0.004690884,161.1225,4.690884477,1.246593511,1.552492884,0.036293045,0.023069092,0.013223953,0.045198931,0.030524543,0.014674388,7.876,7.971,0.020849382,0.115618405,6.07E-04,0.607004251
1823,PCOM,8,High,153,614,643,626,639,641,622,597,589,Inner Bay,Outer Bay,1.49714127,0.748604381,0.712384299,0.616681309,48.58609,,,,,2.245745651,1.329065608,0.046221988,0.030814195,0.015407792,0.027354858,0.01466231,0.012692549,8.893,9.267,0.080423269,0.394976519,0.001655274,1.655273536
1834,PCOM,5,High,153,615,638,610,625,611,566,533,329,Inner Bay,Inner Bay,2.589332191,1.108402661,1.073499134,0.686645275,81.74368,,,,,3.697734852,1.760144409,0.045235728,0.031676237,0.013559491,0.021532483,0.013132503,0.00839998,15.844,16.264,0.086217235,0.237649879,0.001054727,1.054726616
1854,PCOM,4,Ambient,153,651,620,689,663,638,639,646,638,Inner Bay,Outer Bay,1.042383337,0.545898934,0.510850997,0.368265975,26.50363,,,,,1.588282271,0.879116972,0.059926971,0.039329833,0.020597138,0.033169682,0.019274756,0.013894926,6.067,6.33,0.058488165,0.421024393,0.002206798,2.206798276
1882,PCOM,1,Ambient,151,612,632,631,645,657,639,641,643,Inner Bay,Inner Bay,0.901380052,0.486237761,0.661877433,0.444251094,9.43498,,,,,1.387617813,1.106128527,0.147071622,0.095535979,0.051535643,0.117236976,0.07015144,0.047085536,16.54,16.614,0.013070762,0.034514893,0.001385351,1.38535132
1893,PCOM,5,High,151,637,624,634,631,635,597,557,523,Inner Bay,Inner Bay,0.798864615,0.496981023,0.303514803,0.272627371,20.83894,,,,,1.295845638,0.576142174,0.062183856,0.038335185,0.023848671,0.027647384,0.014564791,0.013082593,8.631,8.7,0.01035555,0.052399478,4.97E-04,0.496932665
1925,PCOM,6,High,151,629,634,645,613,552,516,513,518,Inner Bay,Outer Bay,0.73293377,0.346305155,0.090632413,0.224652267,24.83575,,,,,1.079238925,0.31528468,0.043455057,0.02951124,0.013943817,0.012694792,0.003649272,0.00904552,5.088,5.198,0.021813154,0.187243851,8.78E-04,0.878296568
1948,PCOM,2,Ambient,151,589,533,638,644,633,663,608,626,Inner Bay,Outer Bay,0.748516246,0.495445475,0.936503414,0.569586714,44.287,0.242496,0.005475557,242.496,5.475557161,1.243961721,1.506090128,0.028088643,0.016901489,0.011187154,0.034007499,0.021146237,0.012861262,8,8.153,0.034104089,0.186175072,7.70E-04,0.770069975
1956,PCOM,7,High,151,602,621,639,591,555,564,621,485,Inner Bay,Outer Bay,0.809186062,0.454075411,0.030234204,0.270571997,28.622,0.128709,0.004496856,128.709,4.496855566,1.263261473,0.300806201,0.044136031,0.028271472,0.015864559,0.010509615,0.001056327,0.009453288,8.157,8.297,0.027398528,0.146702072,9.57E-04,0.95725414
1997,PCOM,1,Ambient,58,625,696,586,645,654,646,635,648,Outer Bay,Inner Bay,0.792072256,0.545252332,0.540540762,0.425592992,16.94383,,,,,1.337324588,0.966133754,0.078926936,0.046746943,0.032179993,0.057019797,0.031901923,0.025117874,9.39,9.593,0.044119654,0.205210431,0.002603877,2.603877282
1998,PCOM,6,High,58,639,660,645,634,626,606,606,535,Outer Bay,Outer Bay,1.223764333,0.910001414,0.246900071,0.654012394,52.09813,,,,,2.133765747,0.900912465,0.040956667,0.023489602,0.017467065,0.017292607,0.004739135,0.012553472,14.665,14.966,0.059607426,0.17751692,0.001144138,1.144137534
2009,PCOM,5,High,58,635,634,641,652,612,595,556,551,Outer Bay,Inner Bay,1.36103898,0.55979616,0.890989791,0.420556229,49.51495,,,,,1.92083514,1.31154602,0.038793034,0.027487435,0.011305599,0.026487879,0.017994359,0.00849352,13.435,13.506,0.007690289,0.024998842,1.55E-04,0.155312466
2025,PCOM,2,Ambient,58,633,690,677,652,648,663,645,648,Outer Bay,Outer Bay,2.181016082,1.162424369,1.850058423,0.990613162,81.652,0.2517435,0.003083127,251.7435,3.083127174,3.343440451,2.840671585,0.040947441,0.026711116,0.014236325,0.034789982,0.022657846,0.012132136,20.11,20.704,0.133669922,0.290287495,0.001637069,1.637068559
2047,PCOM,4,Ambient,59,590,641,648,665,639,637,627,640,Outer Bay,Outer Bay,1.495316775,0.807670533,0.731347434,0.605962885,31.819,0.305235,0.009592853,305.235,9.592853327,2.302987308,1.337310319,0.07237774,0.046994462,0.025383278,0.042028672,0.022984614,0.019044058,14.791,14.981,0.039276715,0.115971396,0.001234379,1.234379302
