Month,Date,Night,ColonyID,SiteOrigin,SiteTransplant,Live,Live_Dead,Spawn,BeginSpawn,EndSpawn,Tot.Repro.Vol.mL,Status,Notes
May,26-May-17,1,163B,4,13,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,163B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,163B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,163B,4,13,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,163B,4,13,LIVE,1,1,20:53,NA,0.5,2,
June,25-Jun-17,2,163B,4,13,LIVE,1,1,20:52,,0.0126,2,
June,26-Jun-17,3,163B,4,13,LIVE,1,1,20:50,21:30,0.2,2,
June,27-Jun-17,4,163B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,163B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,163B,4,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,163B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,163B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,163B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,166A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,166A,4,4,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,166A,4,4,LIVE,1,1,20:52,21:08,0.0076,2,
May,27-May-17,2,166A,4,4,LIVE,1,1,21:04,21:22,0.0006,2,
May,28-May-17,3,166A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,166A,4,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,166A,4,4,LIVE,1,1,20:39,NA,12,2,
June,25-Jun-17,2,166A,4,4,LIVE,1,1,20:54,NA,5,2,
June,26-Jun-17,3,166A,4,4,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,166A,4,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,166A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,166A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,166A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,166A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,166A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,166B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,166B,4,13,LIVE,1,0,NA,NA,NA,1,
May,26-May-17,1,166B,4,13,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,166B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,166B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,166B,4,13,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,166B,4,13,LIVE,1,1,20:40,21:42,20,2,
June,25-Jun-17,2,166B,4,13,LIVE,1,0,NA,NA,NA,1,
June,26-Jun-17,3,166B,4,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,166B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,166B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,166B,4,13,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,166B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,166B,4,13,LIVE,1,0,NA,NA,NA,1,
