Parent,Destination,Origin,Timepoint,Species,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
170,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.5,961.7,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.1,1202.6,620.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.3,1040.4,656.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.1818182,1095.090909,641.0909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.1,988.5,650.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.2,1077.5,649.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.2,898.2,655.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.3,998.1,628.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.1818182,1155.090909,651.5454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.5,1289.9,643.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.4,984.2,656.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
